Labels,MOF 1 PBS Ar 420 nm 400us Delta OD 10 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

26280.000,-4.97174775E-3,
26320.000,9.51323006E-3,
26360.000,6.81782980E-3,
2.64E04,1.06225796E-2,
26440.000,-1.02434363E-2,
26480.000,1.83203612E-2,
26520.000,5.51737985E-3,
26560.000,-4.85850638E-3,
2.66E04,-9.80313169E-4,
26640.000,1.46671999E-2,
26680.000,5.51747624E-3,
26720.000,5.53479092E-3,
26760.000,3.60730861E-4,
2.68E04,6.79278746E-3,
26840.000,1.47768892E-2,
26880.000,9.43051837E-3,
26920.000,6.85583614E-3,
26960.000,3.27035639E-4,
2.7E04,8.12233053E-3,
27040.000,-8.73617269E-3,
27080.000,1.20590683E-2,
27120.000,-1.04609272E-3,
27160.000,-1.91089027E-2,
2.72E04,5.52603509E-3,
27240.000,-1.01290387E-3,
27280.000,5.49153099E-3,
27320.000,4.24022181E-3,
27360.000,2.93292198E-3,
2.74E04,-4.79212403E-3,
27440.000,-9.58861667E-4,
27480.000,-3.53278988E-3,
27520.000,1.32829584E-2,
27560.000,1.19191939E-2,
2.76E04,5.54359844E-3,
27640.000,6.84312358E-3,
27680.000,-4.88083484E-3,
27720.000,-3.55115766E-3,
27760.000,1.62758201E-3,
2.78E04,-3.51457857E-3,
27840.000,1.32511826E-2,
27880.000,1.62753346E-3,
27920.000,4.24515968E-3,
27960.000,-9.69579443E-4,
2.8E04,-6.22265739E-3,
28040.000,-2.27683131E-3,
28080.000,-2.41376311E-2,
28120.000,-9.82842967E-3,
28160.000,-2.21907464E-3,
2.82E04,-8.56940355E-3,
28240.000,-1.00514414E-2,
28280.000,4.24031913E-3,
28320.000,8.05705506E-3,
28360.000,9.53422207E-3,
2.84E04,-3.58812721E-3,
28440.000,1.45951975E-2,
28480.000,-2.27692816E-3,
28520.000,-2.21902644E-3,
28560.000,-3.60682770E-3,
2.86E04,1.20590199E-2,
28640.000,-4.90334537E-3,
28680.000,-3.49652325E-3,
28720.000,-2.30637915E-3,
28760.000,1.60723422E-2,
2.88E04,2.93095852E-3,
28840.000,6.86872331E-3,
28880.000,4.25017625E-3,
28920.000,2.11054366E-2,
28960.000,-1.06855936E-3,
2.9E04,-1.00187666E-3,
29040.000,-1.38238138E-2,
29080.000,-7.54584093E-3,
29120.000,1.33149233E-2,
29160.000,-7.54593965E-3,
2.92E04,5.55245951E-3,
29240.000,2.93091009E-3,
29280.000,4.24031913E-3,
29320.000,1.62162585E-3,
29360.000,5.55245951E-3,
2.94E04,-9.97612346E-3,
29440.000,-9.80215962E-4,
29480.000,-9.58910154E-4,
29520.000,1.62162585E-3,
29560.000,-2.27687997E-3,
2.96E04,8.20593070E-3,
29640.000,6.81773294E-3,
29680.000,-8.80423468E-3,
29720.000,2.24337783E-2,
29760.000,8.17219727E-3,
2.98E04,8.18898901E-3,
29840.000,6.85588503E-3,
29880.000,-6.14356296E-3,
29920.000,-2.02353485E-2,
29960.000,8.20592977E-3,
3E04,-7.51526654E-3,
30040.000,5.57936681E-3,
30080.000,1.63631118E-3,
30120.000,6.84302673E-3,
30160.000,-1.38239097E-2,
3.02E04,-8.80418718E-3,
30240.000,-1.26939360E-2,
30280.000,-1.14548421E-2,
30320.000,8.05705599E-3,
30360.000,-1.14547955E-2,
3.04E04,-6.24922570E-3,
30440.000,2.93184002E-3,
30480.000,2.92901881E-3,
30520.000,1.47769386E-2,
30560.000,-6.19610120E-3,
3.06E04,-1.00197480E-3,
30640.000,1.71880182E-2,
30680.000,1.45952450E-2,
30720.000,-7.42482860E-3,
30760.000,8.29215627E-3,
3.08E04,-1.88526362E-2,
30840.000,-1.03486399E-3,
30880.000,8.25742912E-3,
30920.000,2.93184002E-3,
30960.000,-7.51536386E-3,
3.1E04,4.20171814E-3,
31040.000,-4.94882511E-3,
31080.000,1.84137635E-2,
31120.000,-6.35757251E-3,
31160.000,2.93287309E-3,
3.12E04,1.33470315E-2,
31240.000,5.55255730E-3,
31280.000,6.88168872E-3,
31320.000,1.62453984E-3,
31360.000,4.25512530E-3,
3.14E04,2.93287309E-3,
31440.000,-1.79654974E-2,
31480.000,4.22081305E-3,
31520.000,2.99431587E-4,
31560.000,1.62748492E-3,
3.16E04,-8.87311902E-3,
31640.000,3.67198372E-4,
31680.000,-7.57660065E-3,
31720.000,5.57931792E-3,
31760.000,-1.00136697E-2,
3.18E04,4.20642598E-3,
31840.000,-3.47852637E-3,
31880.000,-1.05729164E-3,
31920.000,1.63621490E-3,
31960.000,8.08940176E-3,
3.2E04,-2.13467865E-3,
32040.000,-3.60673037E-3,
32080.000,3.27035406E-4,
32120.000,-6.33020140E-3,
32160.000,-1.13706058E-2,
3.22E04,-4.81405528E-3,
32240.000,-9.37761099E-4,
32280.000,-1.40212150E-2,
32320.000,-9.58861667E-4,
32360.000,-1.14125730E-2,
3.24E04,-1.52987093E-2,
32440.000,9.45101026E-3,
32480.000,9.43051837E-3,
32520.000,-9.80264740E-4,
32560.000,-1.41217280E-2,
3.26E04,2.92993733E-3,
32640.000,-1.02824979E-2,
32680.000,4.23043501E-3,
32720.000,-2.29156041E-3,
32760.000,1.62463728E-3,
3.28E04,-1.01285498E-3,
32840.000,-1.49823185E-2,
32880.000,-3.56958760E-3,
32920.000,-1.50865009E-2,
32960.000,-4.88088373E-3,
3.3E04,-4.92609059E-3,
33040.000,-9.91111156E-4,
33080.000,9.45101026E-3,
33120.000,-3.56958760E-3,
33160.000,3.06309696E-4,
3.32E04,1.63050916E-3,
33240.000,-2.23336159E-3,
33280.000,1.85559671E-2,
33320.000,-4.79217153E-3,
33360.000,2.92988913E-3,
3.34E04,-3.58807901E-3,
33440.000,-1.02046113E-2,
33480.000,-3.53283831E-3,
33520.000,1.59513056E-2,
33560.000,-1.01659233E-2,
3.36E04,6.86872331E-3,
33640.000,2.92700599E-3,
33680.000,2.93386355E-3,
33720.000,-2.35122629E-3,
33760.000,-9.91063076E-4,
3.38E04,4.23521642E-3,
33840.000,-8.70237313E-3,
33880.000,-1.66880004E-2,
33920.000,-3.58812721E-3,
33960.000,-8.94293841E-3,
3.4E04,1.20590199E-2,
34040.000,-7.39507331E-3,
