Labels,MOF 2 O2  420 nm 20 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,19998.0000,
Step,2.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

1736.000,4.44032601E-4,
1738.000,1.00631372E-3,
1740.00,-1.10162201E-3,
1742.000,9.64622071E-4,
1744.000,7.16701208E-4,
1746.000,1.75501930E-3,
1748.000,7.37594208E-4,
1750.00,-3.52305156E-4,
1752.000,-1.39595929E-3,
1754.000,-5.91199205E-4,
1756.000,-6.11909607E-4,
1758.000,-6.20225153E-4,
1760.00,1.51922135E-3,
1762.000,9.95860551E-4,
1764.000,1.94345732E-4,
1766.000,1.53171655E-3,
1768.000,7.43790821E-4,
1770.00,-8.79629923E-4,
1772.000,4.56536567E-4,
1774.000,-1.66114280E-3,
1776.000,6.97993732E-4,
1778.000,-8.67203576E-4,
1780.00,-7.59732502E-5,
1782.000,-2.46814359E-3,
